openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numberOfTrades,takerBuyBaseVolume,takerBuyQuoteVolume,ignore,openTime_dt,closeTime_dt,symbol,interval
1622419200000,111.87,136.62,100.0,104.49,5985726.37,1623023999999,676961004.8548,1227710,2957388.61,334956788.4314,0,2021-05-31,2021-06-06 23:59:59.999,ICPUSDT,1w
1623024000000,104.42,106.73,52.92,64.45,11557547.24,1623628799999,819625623.474,1607404,5651541.82,400207596.055,0,2021-06-07,2021-06-13 23:59:59.999,ICPUSDT,1w
1623628800000,64.44,70.81,44.0,47.1,10608907.36,1624233599999,593451094.6103,1094260,5267394.9,295275665.4154,0,2021-06-14,2021-06-20 23:59:59.999,ICPUSDT,1w
1624233600000,47.12,47.64,28.26,43.0,18511877.36,1624838399999,664304106.3887,1392388,9224458.78,331065064.1563,0,2021-06-21,2021-06-27 23:59:59.999,ICPUSDT,1w
1624838400000,42.99,59.45,40.48,46.71,27756343.64,1625443199999,1315975759.687,2093001,13826594.44,656716329.7392,0,2021-06-28,2021-07-04 23:59:59.999,ICPUSDT,1w
1625443200000,46.72,48.45,37.28,39.71,10667061.26,1626047999999,462389743.768,839565,5245587.98,227579522.6817,0,2021-07-05,2021-07-11 23:59:59.999,ICPUSDT,1w
1626048000000,39.74,40.99,31.13,32.36,8968466.07,1626652799999,323573476.6961,620847,4389781.73,158560025.1141,0,2021-07-12,2021-07-18 23:59:59.999,ICPUSDT,1w
1626652800000,32.36,46.04,26.9,42.6,18052562.57,1627257599999,666840315.9952,1168120,8979889.75,332267935.323,0,2021-07-19,2021-07-25 23:59:59.999,ICPUSDT,1w
1627257600000,42.59,48.2,37.46,40.87,16424987.25,1627862399999,687157748.4531,1201458,8045605.91,337040543.7685,0,2021-07-26,2021-08-01 23:59:59.999,ICPUSDT,1w
1627862400000,40.86,66.18,37.51,55.27,21732960.06,1628467199999,1111443636.0496,1862591,10780806.2,551123205.2062,0,2021-08-02,2021-08-08 23:59:59.999,ICPUSDT,1w
1628467200000,55.23,77.0,52.73,63.4,27158864.48,1629071999999,1811812997.9052,3017722,13591345.39,907431158.6791,0,2021-08-09,2021-08-15 23:59:59.999,ICPUSDT,1w
1629072000000,63.4,71.0,54.1,64.59,19324535.66,1629676799999,1229868918.0877,2174736,9404738.25,600295918.4554,0,2021-08-16,2021-08-22 23:59:59.999,ICPUSDT,1w
1629676800000,64.59,74.8,54.5,72.0,18858957.56,1630281599999,1199108213.2438,2181062,9248853.47,588761155.3285,0,2021-08-23,2021-08-29 23:59:59.999,ICPUSDT,1w
